epoch,train_samples,train_supervised,train_dare,dare_scale,val_mrsse_arcsec,val_dare,selection_score,source_guard_pass,lr,val_coefficient_rmse_um,train_seconds,validation_seconds
1,15062,0.10026308489228099,0.03700059157241216,1.0,0.2648460967033129,0.03572916773473023,1.9732604030020213,True,2e-05,0.2027950496388799,15.030037742108107,1.9116100608371198
2,15062,0.09861200305411515,0.03506630695378356,1.0,0.26398531899304534,0.03698299511394486,2.005096663641219,True,2e-05,0.20271196062668065,14.948176372796297,1.8879751614294946
3,15062,0.09788919912183479,0.033023652678068616,1.0,0.26382421513960025,0.034638745695884716,1.9390508014659278,True,2e-05,0.20263326887885544,14.78789868298918,1.9134081890806556
4,15062,0.09761079699157196,0.03305645559176647,1.0,0.2636107014933346,0.03343974236427307,1.9047875802435792,True,2e-05,0.202630341044441,14.83339896099642,1.8987508160062134
5,15062,0.0972744528545024,0.03311887840136029,1.0,0.2629463734385033,0.033106807920543685,1.8930445484456468,True,2e-05,0.20257401432205405,14.80596379796043,1.9002208849415183
6,15062,0.09693577144428041,0.03134952766399326,1.0,0.26291798629612473,0.035794814508305066,1.9679901636410264,True,2e-05,0.20254146477317989,14.836131161544472,1.89797692745924
7,15062,0.09668695291917553,0.031632422338825315,1.0,0.26249103441808996,0.034988695082290314,1.9439101119041777,True,2e-05,0.20247804514338225,14.820428597740829,1.9087398052215576
8,15062,0.09649709379739486,0.030538881248743058,1.0,0.26254563566751576,0.0339686620350704,1.9156315411551321,True,2e-05,0.20249577925702084,14.850269732996821,1.9067523730918765
9,15062,0.0962920903510551,0.03140084371687057,1.0,0.2622408884624568,0.034217705510392646,1.921462249134755,True,2e-05,0.2024776081902572,14.822750254999846,1.8994545573368669
10,15062,0.09604310359182056,0.030596096354013863,1.0,0.26225595551771796,0.03253747645185946,1.874605104878032,True,2e-05,0.20245691125148405,14.948421714361757,1.9639708660542965
11,15062,0.09591352444450277,0.03062946520645168,1.0,0.26200317570331755,0.03606033161768769,1.9720333597326773,True,2e-05,0.20241878062862348,15.004322024062276,1.9609927698038518
12,15062,0.0957806392981781,0.030803402144708746,1.0,0.26195022372544674,0.03199971937156384,1.858464407102122,True,2e-05,0.20241070717417844,14.870789933018386,1.908705655951053
13,15062,0.09566501003882116,0.02846186208771619,1.0,0.26171073258515554,0.03331060633277124,1.8941826017118517,True,2e-05,0.20239671205633852,14.810506416950375,1.907700079958886
14,15062,0.09544149056510326,0.032267919364940875,1.0,0.2614732283543293,0.0361984879032791,1.9739384209584552,True,2e-05,0.2023605630205238,14.833974095992744,1.9075048929080367
15,15062,0.09535739562644725,0.031616599579461155,1.0,0.2613032826276014,0.03381011614302178,1.9066280724738731,True,2e-05,0.20233360075435092,14.832769117318094,1.9074690230190754
16,15062,0.09531388074246683,0.029933263199703415,1.0,0.26129482829086775,0.03215633981959176,1.8604228465333121,True,2e-05,0.2023310644179084,14.831418545916677,1.916140218731016
17,15062,0.09526146150845453,0.029627209985779134,1.0,0.261278294833903,0.03322630760233261,1.8902358556244356,True,2e-05,0.20232811411645113,14.844578247051686,1.908672375138849
