epoch,train_samples,train_supervised,train_dare,dare_scale,val_mrsse_arcsec,val_dare,selection_score,source_guard_pass,lr,val_coefficient_rmse_um,val_high_order_rmse_um,train_seconds,validation_seconds
1,417914,0.3774612461540714,0.0,0,0.40115899543070577,0.0,0.40115899543070577,True,0.00015,0.1937545838069007,0.09112106695231055,230.60498627414927,9.54369038483128
2,417914,0.16582646732925477,0.0,0,0.34983568821888317,0.0,0.34983568821888317,True,0.0003,0.19850036024988682,0.09300446488024273,229.39522743877023,9.636519280262291
3,417914,0.13140821316228246,0.0,0,0.3941949042976538,0.0,0.3941949042976538,True,0.0003,0.16952021533519784,0.07311871754808576,230.00544649595395,9.534372775349766
4,417914,0.11399096428953351,0.0,0,0.3454588311417049,0.0,0.3454588311417049,True,0.0003,0.1523295188076562,0.0732491052197734,229.8975315960124,9.784818466752768
5,417914,0.10217903644276738,0.0,0,0.3036304651297406,0.0,0.3036304651297406,True,0.0003,0.13465324907397458,0.06548030593688235,246.9664330338128,9.624290186911821
6,417914,0.0909710882953744,0.0,0,0.3198569624178252,0.0,0.3198569624178252,True,0.0003,0.13867948711245626,0.07094518545822168,230.46575645310804,9.558518030680716
7,417914,0.08316590597520546,0.0,0,0.3287325911349676,0.0,0.3287325911349676,True,0.0003,0.14037662901143336,0.06641351737318557,231.04960195207968,9.642630829941481
8,417914,0.07731021879411851,0.0,0,0.29899804319329737,0.0,0.29899804319329737,True,0.0003,0.1352023475312178,0.0652977414486846,231.01479441300035,9.539641218725592
9,417914,0.07220133642215354,0.0,0,0.3040643852584156,0.0,0.3040643852584156,True,0.0003,0.13514345591898885,0.06558109185146031,229.6178924399428,9.563620386179537
10,417914,0.06875500951073178,0.0,0,0.27860279011604977,0.0,0.27860279011604977,True,0.0003,0.1301819424276241,0.06248040690003647,231.0601890888065,9.654606470372528
11,417914,0.06537130786153957,0.0,0,0.30516975039454164,0.0,0.30516975039454164,True,0.0003,0.13451289077760162,0.06569677822516092,247.21156038809568,9.661853186786175
12,417914,0.06318286979629809,0.0,0,0.29721992267798103,0.0,0.29721992267798103,True,0.0003,0.13611323517949744,0.06533011753343156,231.2000154228881,9.661175327375531
13,417914,0.06097523615070428,0.0,0,0.3062174207389616,0.0,0.3062174207389616,True,0.0003,0.136141137908564,0.06484857185715516,230.31633596820757,9.530771773774177
14,417914,0.058476511471008186,0.0,0,0.29860340338851643,0.0,0.29860340338851643,True,0.0003,0.1330398647991562,0.0647176473309484,229.3871120372787,9.520840851590037
