epoch,train_samples,train_supervised,train_dare,dare_scale,val_mrsse_arcsec,val_dare,selection_score,source_guard_pass,lr,val_coefficient_rmse_um,val_high_order_rmse_um,train_seconds,validation_seconds
15,417914,0.05736316467396443,0.0,0,0.28491808205276903,0.0,0.28491808205276903,True,0.0003,0.13117534931643146,0.06189912391864398,229.239074296318,9.528978136833757
16,417914,0.05617830504024328,0.0,0,0.28795896332316256,0.0,0.28795896332316256,True,0.0003,0.12815099160102567,0.061461453514922375,229.99006653530523,9.637237440794706
17,417914,0.04887024890841184,0.0,0,0.286089126021932,0.0,0.286089126021932,True,0.00015,0.13000125318565955,0.060763861534959517,230.49326899601147,9.552574563305825
18,417914,0.04716028596648591,0.0,0,0.2828117605695687,0.0,0.2828117605695687,True,0.00015,0.1303388992721372,0.06019057706972633,229.63754665711895,9.528411353006959
19,417914,0.04617977575271489,0.0,0,0.28071481237934076,0.0,0.28071481237934076,True,0.00015,0.12979956649632052,0.060068193548260596,229.61124836886302,9.541271603200585
20,417914,0.04552090927234172,0.0,0,0.28284309557862874,0.0,0.28284309557862874,True,0.00015,0.12914742291146428,0.06033406507960219,230.58645757799968,9.685506887733936
21,417914,0.045057050364154416,0.0,0,0.2827343839727758,0.0,0.2827343839727758,True,0.00015,0.1297263392583631,0.05976043351553181,247.41709256079048,9.660973697900772
22,417914,0.04454030205506491,0.0,0,0.28838516139370596,0.0,0.28838516139370596,True,0.00015,0.13203041956506786,0.060944444946906935,230.202188430354,9.627923839725554
23,417914,0.041479385439752825,0.0,0,0.2786163624860085,0.0,0.2786163624860085,True,7.5e-05,0.1305980219956711,0.06035340019570611,231.1864500748925,9.663486751262099
24,417914,0.040545710578850425,0.0,0,0.28782719124458844,0.0,0.28782719124458844,True,7.5e-05,0.13073806267194424,0.06046180541568089,231.53586246306077,9.665283657610416
25,417914,0.04022881879746066,0.0,0,0.28454880811916083,0.0,0.28454880811916083,True,7.5e-05,0.13075085320773,0.06006087228785619,231.1735142520629,9.550456336233765
26,417914,0.039792111792989276,0.0,0,0.28340223311803275,0.0,0.28340223311803275,True,7.5e-05,0.13082135899139927,0.06037112154064847,230.13454126100987,9.549191506113857
27,417914,0.03963196619625862,0.0,0,0.28561000307335765,0.0,0.28561000307335765,True,7.5e-05,0.13257412467594526,0.061183845601706255,230.2857609060593,9.598816539160907
28,417914,0.03935988581489939,0.0,0,0.2880017425590673,0.0,0.2880017425590673,True,7.5e-05,0.13209113121020996,0.061020594152210554,230.8219845360145,9.667471951805055
29,417914,0.03779117591827461,0.0,0,0.2831258048924657,0.0,0.2831258048924657,True,3.75e-05,0.13064020568650953,0.06016535436629444,231.3414093973115,9.552822406869382
30,417914,0.03746914108541107,0.0,0,0.2857988682789748,0.0,0.2857988682789748,True,3.75e-05,0.13155817281920387,0.06052539834945551,228.79560238914564,9.520782893057913
31,417914,0.03742228117173027,0.0,0,0.2863305690302588,0.0,0.2863305690302588,True,3.75e-05,0.1326621415537843,0.06088162757656052,238.86326495697722,9.537486888002604
32,417914,0.037134949528995334,0.0,0,0.3051745443874714,0.0,0.3051745443874714,True,3.75e-05,0.13613311404793352,0.06362783529397337,232.53113548783585,12.394962727092206
33,417914,0.0371152353718923,0.0,0,0.2866602183281136,0.0,0.2866602183281136,True,3.75e-05,0.13150176616850537,0.06056235400669837,299.7441847319715,11.568124645855278
34,417914,0.03680172914658967,0.0,0,0.28764480715965013,0.0,0.28764480715965013,True,3.75e-05,0.13223439049648625,0.06074126664172616,244.29244104074314,9.554380596149713
35,417914,0.036131526064520345,0.0,0,0.28483985313901566,0.0,0.28483985313901566,True,1.875e-05,0.13207800150383217,0.06060193959840511,230.87244914611802,9.551678117830306
