epoch,train_samples,train_supervised,train_dare,dare_scale,val_mrsse_arcsec,val_dare,selection_score,source_guard_pass,lr,val_coefficient_rmse_um,train_seconds,validation_seconds
1,122600,0.13752296792546842,0.10206347973011495,1.0,0.27664854788363824,0.109858351169241,2.0189676674347115,True,2e-06,0.12733541368311982,153.94209996517748,32.30147167807445
2,122600,0.12910322199929597,0.10323692745524557,1.0,0.27427539353598474,0.10692409872528193,1.983046582662662,True,2e-06,0.12731145303012853,151.92552259843796,32.28699436271563
3,122600,0.12526866503679732,0.10427963082664943,1.0,0.27240047541399015,0.10719806417515067,1.9788752840418673,True,2e-06,0.1266183620787278,151.38023970881477,32.23320796107873
4,122600,0.12208707696534876,0.10395345138504396,1.0,0.2804954223663963,0.1067298316975703,2.003558566648615,True,2e-06,0.12822882464747049,151.3463686457835,32.238402988296
5,122600,0.11931609244856127,0.10348065418918992,0.44011133769442823,0.2777355220885688,0.10750730417517794,2.000912934902131,True,2e-06,0.12714133015933288,151.57242468884215,32.237385919783264
6,122600,0.11839055795070592,0.10566004127859584,1.0,0.28282365923903874,0.10684947424004179,2.013032900741971,True,2e-06,0.1282909352038419,151.73296677414328,32.31502890586853
7,122600,0.11564930400733651,0.10637520813776657,0.15987544076690474,0.27672309490468355,0.10756125759690341,1.9977827870700842,True,2e-06,0.12739011003237005,152.10617639124393,32.2903692307882
8,122600,0.11414008835351876,0.09755949542582716,1.0,0.2783466420156607,0.10708589787556073,1.9991709993668758,True,1e-06,0.12706431664996048,151.489856058266,32.17749442206696
9,122600,0.11390860381950951,0.09802333897742371,1.0,0.2783416759796585,0.10746394275145317,2.0026837194138767,True,1e-06,0.1275853046705592,151.5374625492841,32.3499751528725
10,122600,0.11151571195870395,0.0987653882643527,1.0,0.27598316001731615,0.10740574384886195,1.9936745208112063,True,1e-06,0.126719945465614,151.01793106505647,32.26680211396888
11,122600,0.11142872677930611,0.10063662820524531,1.0,0.28034097406192243,0.10617408636357882,1.9978141060245624,True,1e-06,0.12773179380257532,151.1445087888278,32.12685887888074
12,122600,0.11109293437582633,0.09827601120896869,0.47055669773510544,0.2737737488445766,0.10522824316857617,1.9654084503553868,True,5e-07,0.12651992595472686,150.740450383164,32.08150324970484
13,122600,0.11070316242986947,0.09410696472115754,1.0,0.28002575329210555,0.1065522720716912,2.0002145097589246,True,5e-07,0.12700622860050248,150.63168906001374,32.02723308233544
14,122600,0.11104677249663805,0.09671712137035551,0.5393482614115628,0.2784948814776238,0.1081752182883771,2.009876209115904,True,5e-07,0.12699766949061247,150.63125988701358,32.24054907588288
15,122600,0.11018299823970235,0.09246517920328781,1.0,0.2786389149753265,0.1041211519122618,1.972532449145732,True,5e-07,0.12696166573301282,150.65132271312177,32.0274496297352
16,122600,0.11071215886908294,0.0932979954842958,0.9821884413025903,0.28287126619172076,0.10443518128868476,1.9906568013494315,True,2.5e-07,0.12805809233905038,150.72146742790937,32.26763386791572
17,122600,0.10979246204381665,0.09488990842688337,0.15658002988664266,0.27775339154216,0.10636474177039959,1.9903067334838855,True,2.5e-07,0.12705907637966132,150.9637388526462,31.97113219834864
18,122600,0.10941818682248985,0.09020106789058904,1.0,0.27570469746453125,0.10632960536661364,1.9826249924528763,True,2.5e-07,0.12671547126286925,150.5959653998725,32.15496364701539
19,122600,0.10974208859061339,0.09462559889023592,1.0,0.27590127848846896,0.10688861438784868,1.9885511641321933,True,2.5e-07,0.1270173883697673,151.04175971681252,32.00053882878274
20,122600,0.10904481891415053,0.0943636898190804,1.0,0.273443562301707,0.1094397476219849,2.0035543382457157,True,1.25e-07,0.1263850186281741,150.733434679918,32.0194509010762
21,122600,0.10980524924412054,0.09255064215201149,1.0,0.27977477026576747,0.1065030550968625,1.9988539934408662,True,1.25e-07,0.1274806186622459,150.82241016207263,31.967321418691427
22,122600,0.10900509509915823,0.09395722510192853,0.6012069365363601,0.2769168280353513,0.10631060989228071,1.9867984284796514,True,1.25e-07,0.12699680095638521,150.92399302404374,32.24166552070528
23,122600,0.10899995353200502,0.09244290926899354,1.0,0.27797024200528964,0.10659055418680428,1.993193951425547,True,1.25e-07,0.12711595468865688,150.62459004297853,31.96566885802895
24,122600,0.10889880095521932,0.09258467741079665,1.0,0.2771510328311825,0.10726055903337366,1.99651062064209,True,1e-07,0.12694848913110457,150.48522319598123,31.99902370478958
25,122600,0.10887329956349502,0.09143583428217963,1.0,0.2848699199761912,0.10626861016799213,2.014953104993115,True,1e-07,0.12874940216258943,150.5638443189673,32.006893381942064
26,122600,0.10936294341651301,0.09228151544989323,0.06476622614560956,0.2807736332604958,0.10622005924297592,1.9997964361967404,True,1e-07,0.12755335184591932,150.6431924100034,32.08287689788267
27,122600,0.10748800669467079,0.09217047322814947,0.39012808580625036,0.27664072143430407,0.10699877294389123,1.9922340943815375,True,1e-07,0.12665145749935927,150.55751007329673,32.009508395101875
28,122600,0.10871226953205822,0.0918892543480335,1.0,0.27687668814516175,0.10881560675671705,2.010048410250672,True,1e-07,0.12672024689640807,151.07077054679394,32.22657609125599
29,122600,0.10894218064589369,0.094317989997979,1.0,0.27554899731111676,0.10513089830627899,1.9708714459228935,True,1e-07,0.12647368013129984,151.06699347496033,32.38384449901059
30,122600,0.10903436936644706,0.09103380882647648,1.0,0.2804473844595488,0.10842237226134144,2.0191927039935607,True,1e-07,0.1276324576434695,151.5689111482352,32.16653116885573
31,122600,0.10936427559199186,0.09204705258105163,0.4493646446500221,0.27698421522914235,0.10582107965461453,1.9824686064773922,True,1e-07,0.12695114459151305,151.75530410092324,32.24865020578727
