state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
4,641,R01,S22,8,R01_S22,-84.76,-211.76,228.0933
4,641,R02,S22,17,R02_S22,42.24,-211.76,215.9317
4,641,R03,S02,20,R03_S02,169.24,-296.26,341.1923
4,641,R10,S00,27,R10_S00,-296.26,-169.26,341.2022
4,641,R11,S22,44,R11_S22,-84.75,-84.75,119.8546
4,641,R12,S20,51,R12_S20,-42.25,-84.75,94.6975
4,641,R13,S21,61,R13_S21,127.0,-84.75,152.6812
4,641,R14,S00,63,R14_S00,211.75,-169.25,271.0786
4,641,R20,S01,73,R20_S01,-254.01,-42.26,257.5014
4,641,R21,S10,84,R21_S10,-169.25,0.0,169.25
4,641,R22,S20,96,R22_S20,-42.25,42.25,59.7505
4,641,R23,S00,99,R23_S00,84.75,-42.25,94.6975
4,641,R24,S01,109,R24_S01,254.0,-42.25,257.4899
4,641,R30,S21,124,R30_S21,-254.0,169.25,305.2238
4,641,R31,S02,128,R31_S02,-84.75,84.75,119.8546
4,641,R32,S22,143,R32_S22,42.25,169.25,174.4438
4,641,R33,S01,145,R33_S01,127.0,84.75,152.6812
4,641,R34,S20,159,R34_S20,211.75,169.25,271.0786
4,641,R41,S21,169,R41_S21,-127.01,296.24,322.3192
4,641,R42,S02,173,R42_S02,42.24,211.74,215.9121
4,641,R43,S21,187,R43_S21,126.99,296.24,322.3113
5,719,R01,S10,3,R01_S10,-169.26,-254.01,305.2377
5,719,R02,S21,16,R02_S21,-0.01,-211.76,211.76
5,719,R03,S12,23,R03_S12,169.24,-254.01,305.2266
5,719,R10,S01,28,R10_S01,-254.01,-169.26,305.2377
5,719,R11,S11,40,R11_S11,-127.0,-127.0,179.6051
5,719,R12,S20,51,R12_S20,-42.25,-84.75,94.6975
5,719,R13,S10,57,R13_S10,84.75,-127.0,152.6812
5,719,R14,S11,67,R14_S11,254.0,-127.0,283.9806
5,719,R20,S01,73,R20_S01,-254.01,-42.26,257.5014
5,719,R21,S02,83,R21_S02,-84.75,-42.25,94.6975
5,719,R22,S11,94,R22_S11,0.0,0.0,0.0
5,719,R23,S12,104,R23_S12,169.25,0.0,169.25
5,719,R24,S01,109,R24_S01,254.0,-42.25,257.4899
5,719,R30,S00,117,R30_S00,-296.25,84.75,308.1341
5,719,R31,S20,132,R31_S20,-169.25,169.25,239.3556
5,719,R32,S02,137,R32_S02,42.25,84.75,94.6975
5,719,R33,S20,150,R33_S20,84.75,169.25,189.2832
5,719,R34,S01,154,R34_S01,254.0,84.75,267.7659
5,719,R41,S01,163,R41_S01,-127.01,211.74,246.9117
5,719,R42,S00,171,R42_S00,-42.26,211.74,215.916
5,719,R43,S02,182,R43_S02,169.24,211.74,271.0646
6,731,R01,S02,2,R01_S02,-84.76,-296.26,308.1465
6,731,R02,S20,15,R02_S20,-42.26,-211.76,215.9357
6,731,R03,S21,25,R03_S21,126.99,-211.76,246.9185
6,731,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
6,731,R11,S01,37,R11_S01,-127.0,-169.25,211.6
6,731,R12,S10,48,R12_S10,-42.25,-127.0,133.8434
6,731,R13,S12,59,R13_S12,169.25,-127.0,211.6
6,731,R14,S20,69,R14_S20,211.75,-84.75,228.0803
6,731,R20,S01,73,R20_S01,-254.01,-42.26,257.5014
6,731,R21,S22,89,R21_S22,-84.75,42.25,94.6975
6,731,R22,S10,93,R22_S10,-42.25,0.0,42.25
6,731,R23,S12,104,R23_S12,169.25,0.0,169.25
6,731,R24,S22,116,R24_S22,296.25,42.25,299.2476
6,731,R30,S01,118,R30_S01,-254.0,84.75,267.7659
6,731,R31,S20,132,R31_S20,-169.25,169.25,239.3556
6,731,R32,S11,139,R32_S11,0.0,127.0,127.0
6,731,R33,S21,151,R33_S21,127.0,169.25,211.6
6,731,R34,S12,158,R34_S12,296.25,127.0,322.3245
6,731,R41,S22,170,R41_S22,-84.76,296.24,308.1272
6,731,R42,S02,173,R42_S02,42.24,211.74,215.9121
