noll,count,bias_um,rmse_um,std_um,correlation,danish_polar_rms_um,tarts_polar_rms_um,color_limit_um
4,12600,-0.013469377365186773,0.01913826469299644,0.0135964598545814,0.8785353296509105,0.03676148304978185,0.02793746198262405,0.07100000000000001
5,12600,0.0046088766927878215,0.06332610806281413,0.06316067468615,0.6942911615514161,0.08827257943314994,0.0578637121265626,0.2
6,12600,-0.016038853396114633,0.0649677857366673,0.06295937546663802,0.7754476848716374,0.09749997268454784,0.06522518818333686,0.18
7,12600,-0.00422326996003034,0.09310231332742894,0.09301016781212346,-0.026246680583746514,0.08779799830501685,0.02870406097060147,0.16
8,12600,0.008446300489978844,0.056363106748203204,0.055728864109803246,0.2234294325479265,0.055985749960088635,0.03381561695603335,0.12
9,12600,-0.00938038932899644,0.0318876038945379,0.030477882152420543,0.6664864598298837,0.03507210884872913,0.03959436277025683,0.099
10,12600,0.0003934794375105623,0.024302938381841506,0.024300717169989525,0.8258844938006876,0.03918450178370231,0.042563960501804346,0.11
11,12600,0.00030460490406341613,0.012861697335215765,0.012858600106652032,0.8126394150384435,0.02018847682218486,0.0225557460649037,0.064
12,12600,0.002830180473394342,0.015984101624285894,0.015732171692998235,0.8258475423886742,0.027786475071349206,0.021767603890505357,0.065
13,12600,-0.008253624134501623,0.01664267102688188,0.014452431102030488,0.8791664305422403,0.030844533550832092,0.029280428686752888,0.076
14,12600,-0.000716602822653044,0.02099008387776792,0.020978680381782307,0.6819092302139884,0.01889463144835118,0.030926012786795527,0.061
15,12600,-0.004494777393979301,0.02259925194338222,0.022148636483514856,0.6577038643472389,0.012106157903890863,0.028189589514399392,0.064
16,12600,-0.002796879662467485,0.019025988356280672,0.018820037399183424,0.5865473991329788,0.023343265336581598,0.017197073072718925,0.046
17,12600,0.016287563694558308,0.0282970534544989,0.023140462432601996,0.7177306720198171,0.03253324477713705,0.021131739670715483,0.058
18,12600,-0.005258626087036677,0.026751709390421,0.026230810406063718,-0.04874209001395606,0.012393871624377132,0.02329449813421653,0.043000000000000003
19,12600,-0.014377032844709552,0.022567887008255204,0.017396392419354773,-0.000457112283598643,0.012246076592627443,0.020942334815787042,0.037
22,12600,-0.008127547414686947,0.00873123030476797,0.0031903234080048887,0.5364466381558299,0.010899409294960423,0.018793345057978483,0.023
23,12600,0.010395008800386964,0.018977160342489762,0.015877544342762097,-0.251280501112708,0.009643632253443219,0.012839136676792763,0.03
24,12600,-0.01029627528733658,0.018570597771048407,0.015455509533437946,-0.23269738446008728,0.02183525342324736,0.014778059241306008,0.037
25,12600,-0.01575899856294948,0.018372326208612236,0.009444755912392206,0.475831594268068,0.017114138227376664,0.010511256440067642,0.032
26,12600,0.008042183570038487,0.011081176556314909,0.007623671689271907,0.7772404766038074,0.02087005295190789,0.029814018131487957,0.043000000000000003
