noll,count,bias_um,rmse_um,std_um,correlation
4,21965,-0.23568026003777778,0.2594546930181917,0.10849925670378843,0.972187889092222
5,21965,-0.05851838148671118,0.27867440597527254,0.27246725202079536,0.4567867725236357
6,21965,-0.019002970839818084,0.24160650359321945,0.2408635110093563,0.39776518860719384
7,21965,-0.239428781220043,0.28729001626103373,0.15877833582474218,0.32180123534489014
8,21965,0.01838292715713247,0.17028146933084515,0.1692901401472503,0.3957032561106095
9,21965,-0.007985663950861116,0.16901645709000412,0.16883154220550764,0.28035454598171616
10,21965,0.006069023646080628,0.11437680511606402,0.11421827540724662,0.583974288878747
11,21965,0.011848526881984798,0.0444691533722778,0.04286259038610893,0.8524939208709004
12,21965,0.0025746951873656665,0.05142289410891682,0.051359566533548597,0.9257800545336486
13,21965,0.0206050780824717,0.06083502084190128,0.0572405423302199,0.8855035251254542
14,21965,-0.029575365385150043,0.12538959903783473,0.121854525224305,0.28749038352751183
15,21965,-0.022243278717051635,0.1289112773428677,0.12698066017718984,0.22683435743633334
16,21965,-0.014680596573033187,0.045560461044318684,0.04313143157362271,0.8374397047094555
17,21965,0.026564133585264896,0.05030587768014395,0.042721320529994854,0.6013175113472556
18,21965,0.0037058860962622788,0.051557111932948964,0.0514249219369517,0.34538077031441466
19,21965,-0.02576160591233163,0.05668937385016743,0.05049891947894186,0.1905573483009495
22,21965,-0.009271851381767593,0.014232059974827588,0.01079766692641426,0.5607558477702378
23,21965,-0.003259430881117048,0.025412765063592545,0.02520344535702851,0.7355871851045966
24,21965,-0.004943649138343388,0.02487813212504952,0.02438255231550027,0.7990515368023486
25,21965,-0.001407690439973898,0.029509530706241006,0.0294766071176287,0.613248703041072
26,21965,0.010466106154580782,0.02852353132950201,0.026534590939076345,0.6153026440832262
