noll,count,bias_um,rmse_um,std_um,correlation
4,21965,-0.24240473840770552,0.2669326853093766,0.11177463969262351,0.9693851030704357
5,21965,-0.04804859968082738,0.27399939067226975,0.2697597285912124,0.48277172385185535
6,21965,-0.004986941590692046,0.2538962420821353,0.253853040118573,0.36135360241235936
7,21965,-0.27676458965084455,0.3216145646338355,0.1638246378792512,0.3272628279573493
8,21965,0.022527431210989903,0.17521138341980874,0.17376109551665062,0.394005176684186
9,21965,0.003762669258084662,0.1625792436450571,0.16253939695940867,0.30681299663338923
10,21965,-0.012171487546068126,0.11462978342144027,0.11398435701604169,0.5890660729524538
11,21965,0.018285495539200794,0.04804478880564031,0.044430082781614165,0.8297187749807042
12,21965,0.015282862880169012,0.05547231160165863,0.05332673741697156,0.9201194248378662
13,21965,0.014310938524625125,0.061807207907608686,0.060128966316731,0.8732006072253236
14,21965,-0.02767244926008034,0.11704635933656717,0.11373071116677155,0.3139477328185078
15,21965,-0.016262114038726405,0.13374530108751165,0.13275598511662084,0.2106550827403559
16,21965,-0.01955505065971095,0.048978045494590505,0.04490590986903268,0.8293670195139904
17,21965,0.03923336522455584,0.059948313476132,0.045328102576554744,0.5748483288286005
18,21965,0.002579672148891729,0.05382993555257893,0.05376931167502222,0.3275804137415907
19,21965,-0.04410603395089361,0.06883107895555302,0.05284413244146762,0.16911661987484566
22,21965,-0.008745104205307644,0.014214110924228272,0.01120579397537432,0.5306245126040475
23,21965,-0.003411191828719425,0.023607637085559314,0.023360418308702082,0.7704107301248355
24,21965,-0.007436480408370186,0.02615252456224714,0.0250735303078934,0.790477909090659
25,21965,-0.005530649252599913,0.03145885548132464,0.03096958463802536,0.6095250330995602
26,21965,0.008182756239562093,0.02635159715687136,0.02504950578764304,0.6248176909211697
