epoch,train_samples,train_supervised,train_dare,dare_scale,val_mrsse_arcsec,val_dare,selection_score,source_guard_pass,lr,val_coefficient_rmse_um,train_seconds,validation_seconds
1,15062,0.7662005607444853,0.0,0,0.2853796767034033,0.0,0.2853796767034033,True,0.0001,0.20515209270662277,6.625937931006774,0.12083997903391719
2,15062,0.3102165526791946,0.0,0,0.2754091281690115,0.0,0.2754091281690115,True,0.0001,0.2048248677780607,5.688085734960623,0.13124169607181102
3,15062,0.22144119449225955,0.0,0,0.27585721303063365,0.0,0.27585721303063365,True,0.0001,0.2046778601360807,5.713876924943179,0.11951424402650446
4,15062,0.1783721890503818,0.0,0,0.2706581665362452,0.0,0.2706581665362452,True,0.0001,0.20462356735254694,5.6528714270098135,0.11958408309146762
5,15062,0.1552944511517461,0.0,0,0.26893790717440674,0.0,0.26893790717440674,True,0.0001,0.20464348553145761,5.746829953044653,0.11958590499125421
6,15062,0.14213360896893762,0.0,0,0.26950918908134575,0.0,0.26950918908134575,True,0.0001,0.20455771890417718,5.650435599964112,0.11971862404607236
7,15062,0.13414874160025417,0.0,0,0.2686066352538062,0.0,0.2686066352538062,True,0.0001,0.20454501453873036,5.707795281079598,0.11931020789779723
8,15062,0.1292004036113507,0.0,0,0.26849971272290835,0.0,0.26849971272290835,True,0.0001,0.20450604895693086,5.6531964940950274,0.12013230996672064
9,15062,0.1259394129019717,0.0,0,0.2679009011908282,0.0,0.2679009011908282,True,0.0001,0.2045104993545318,5.649973865016364,0.11970507400110364
10,15062,0.12365403021593649,0.0,0,0.26837704455574274,0.0,0.26837704455574274,True,0.0001,0.20445226917517478,5.675827872008085,0.11928287800401449
11,15062,0.12212156145071036,0.0,0,0.267688221799558,0.0,0.267688221799558,True,0.0001,0.20441714509254516,5.70294508500956,0.11931933800224215
12,15062,0.12069924453243984,0.0,0,0.26714056176289763,0.0,0.26714056176289763,True,0.0001,0.204377267727595,5.646377939032391,0.11942508700303733
13,15062,0.11973078506565271,0.0,0,0.26715719125131576,0.0,0.26715719125131576,True,0.0001,0.20437406968594904,5.654158555087633,0.11933086800854653
14,15062,0.11889992433408075,0.0,0,0.2666526559052113,0.0,0.2666526559052113,True,0.0001,0.20432537075374768,5.681000157026574,0.1199129109736532
15,15062,0.11811147543747988,0.0,0,0.26670143693050186,0.0,0.26670143693050186,True,0.0001,0.20434471239482646,5.6688193649752066,0.11925937805790454
16,15062,0.11756331815498472,0.0,0,0.26599325604046603,0.0,0.26599325604046603,True,0.0001,0.2042918550978528,5.666008632979356,0.11989481700584292
17,15062,0.11716071538634074,0.0,0,0.2659431886081203,0.0,0.2659431886081203,True,0.0001,0.20428616619616757,5.666866329032928,0.12618101993575692
18,15062,0.1167984621990346,0.0,0,0.2661729449520157,0.0,0.2661729449520157,True,0.0001,0.2042410388952022,5.732286190032028,0.11961059994064271
19,15062,0.11631661367406884,0.0,0,0.2663455972784088,0.0,0.2663455972784088,True,0.0001,0.2042954101319751,5.697382042999379,0.11989334796089679
20,15062,0.11593685114154967,0.0,0,0.26542364806001967,0.0,0.26542364806001967,True,0.0001,0.20424376526787943,5.6486599339405075,0.11986879806499928
21,15062,0.11552535391114271,0.0,0,0.26522493177635825,0.0,0.26522493177635825,True,0.0001,0.20420490856084358,5.65264343097806,0.11939569306559861
22,15062,0.11522627262963256,0.0,0,0.2651605304468204,0.0,0.2651605304468204,True,0.0001,0.20420285689580397,5.655854707933031,0.11935767298564315
