SEQID,PERTID,BAND,RTP,RA,DEC,SEEING,MJD,AIRMASS,ALTITUDE,AZIMUTH,ZENITH,DOF
3548,3548,i,-72.348176,126.975895,-23.320987,0.586602,63180.327505,1.133498,61.709265,83.561232,28.290735,"[0.020794243480569,0.0239178335520377,0.0160868345181894,-0.0178825492774322,-0.0346814610326896,-0.0235382885698456,-0.0326829839646948,-0.0122539185516699,-0.0562906258458466,0.018735178051223,0.0466827956217483,0.0553982595350556,0.0986484922412834,0.0104267980310029,0.0141726583266975,0.0283646376290543,0.0049363882583484,0.07964261327332,-0.0204415598827786,0.0192506522808792,-0.0049457119254867,0.0769916043594608,0.007175024371421,0.0042264783951864,0.0024372797764057,0.0626617329069246,0.0232331391423458,-0.030073383104085,0.0034729330766171,0.0338415007704827,-0.0153794348461585,0.0013279990183687,0.0282057202408991,-0.0188781283505545,-0.0663547912057232,-0.0481085664719594,-0.0683822635006149,0.0091441073744756,-0.0127593142239825,0.0424926712625635,0.1074364898075359,0.0278039661871904,0.004353927379935,0.0139176166430175,-0.0237518208637591,0.0160521682277252,0.0235507471371343,-0.0841978640741045,-0.0033895811416793,-0.0801790814249821]"
3549,3549,r,-0.552426,73.496366,-42.351206,0.450241,61376.052215,1.409476,45.053421,121.25026,44.946579,"[-0.0118606096390853,0.0003362767457682,0.0027149101612978,0.0012828913981715,0.0135440408882198,0.0272695543821386,-0.0026354624252565,0.0071495991452516,0.0271439538867784,0.0009332687945445,-0.1322160645076376,0.0296208000976731,0.1275223984156703,-0.0504975894206358,-0.0263631120575653,0.0179790839912456,-0.0086260058361783,0.01424778790556,0.0024673526729917,0.006948515687596,0.0362312995665256,0.0377172725354132,-0.0087054854889932,0.0138596209715873,-0.0021502045095161,-0.0168469131675503,-0.0182461537786435,-0.018238966404037,-0.0003792806990075,-0.0350060994908713,0.0150398646460543,-0.083912263045528,0.0141699487309043,-0.0316259618695984,-0.1701001064721458,0.0361313493059922,-0.1323416129994082,0.0238043741141719,0.0437556011907677,0.0009938288210692,-0.0005137444875966,0.0097845169605788,0.009258935113323,0.0492593933625091,-0.0090841401373889,0.0084142969568123,0.0109646264478875,-0.1228527644749385,-0.0070846567195614,-0.0667997844391781]"
3550,3550,g,49.790128,60.048185,-49.066317,1.202505,63262.106024,1.203271,56.382466,225.532985,33.617534,"[-0.0401677531890883,0.0023011811041458,-0.0057348255817131,-0.076272863371203,-0.0148267670765078,-0.025118481692421,-0.009827412479991,-0.0289088612729479,-0.0313978599293714,0.0017246653740281,0.0062466916338529,-0.0577375139325327,0.1074172871407037,-0.0599278491839743,0.0056591677820267,-0.0476047678403219,-0.0913339692045174,0.046213632804322,-0.0285324693144921,0.061050670973148,0.0197187858727335,0.0613602974682496,-0.0689447637728442,0.0596468305474575,0.0038539185696894,0.0149340637736707,-0.0526809082183287,-0.0772932287041688,0.01896018050557,0.0174615518954981,-0.1149760116123758,0.0922685591328471,-0.0313282792290881,-0.011088448245996,-0.0622879209692337,0.0179710700703921,-0.054291176976981,0.0055891686078633,0.038917601791331,-0.038883637728234,0.0489868821245449,-0.068237174305181,-0.0525447799735145,0.068672996614905,0.0566090103480188,0.0042082429207462,-0.0292659060737609,-0.0314740846696441,0.0187701758720874,-0.1479112838808643]"
3551,3551,g,-15.06165,286.440827,-47.977511,0.575278,62058.045619,1.247247,53.656386,228.886037,36.343614,"[0.0260090456560238,-0.0871587266393265,-0.1587044673207477,-0.2704843469081396,0.0822508351750268,-0.0088208306851112,-0.1707097806129366,-0.2141666711398969,0.073982677494482,0.3431323571764962,0.0416414036788742,-0.1652605011730046,0.11322479712619,0.0865563692659242,0.1299639249801319,-0.0202629333938219,-0.0423269740701544,-0.0456293756053577,-0.0615700210567663,-0.1002232452975164,0.2844279270228184,0.3580680301708158,0.168425133232528,0.1252891075572372,0.230102295272655,-0.2438109438636009,0.2087023315187675,0.2477282461772629,0.0692877799889461,0.1287423880638318,-0.0602588441911549,-0.0397867899942685,0.3184473955115563,0.0441592012383149,-0.1808101451342872,0.1890854186790846,0.08932200277563,0.1585859928494424,-0.044816227506572,0.3317005407235249,-0.0562553937589425,-0.0984652152878553,0.2767644990828355,-0.1383682568207289,-0.2717780616860857,0.0052764746447739,-0.0456049004254394,-0.0324109657188159,0.0286190253642238,-0.0525534063086199]"
3552,3552,g,-56.4778,46.792869,-6.05684,0.494447,60991.132116,1.15227,59.963819,39.803616,30.036181,"[0.7912758649640484,0.2615661494640622,-0.2132232756340956,-0.2009580986664506,-0.258881514064589,0.4036128426218174,0.4390232328969004,0.3293977068997047,-0.1267667853428153,0.1115374696944821,0.2718616505948468,0.0185070463399948,-0.0290736788790689,0.2249681707301205,0.1893979659014172,0.1558389921249783,0.1249441238253554,-0.1451517872100994,-0.1243438188736714,0.2280718557506101,-0.3631084852228357,0.4970613678427841,0.2633597305407261,0.2411562232001869,-0.142627320450874,0.1960619105837278,0.0605444267265399,-0.0039582070140165,0.0034642933796304,-0.0330028889840556,0.3551331706869982,-0.1187801532535212,0.2928968664251028,-0.1283026364836032,0.1320222217217604,-0.0253235467322198,0.2506803663494927,0.1628897180399454,0.0522172301165905,-0.3220442027956613,-0.0719823724473784,-0.195402714807679,0.3417949504081187,-0.0780028757371707,0.0282565066569168,0.0552241759963294,0.0567130784376945,-0.199827866538031,-0.0349531280429261,-0.0389387115979812]"
3553,3553,u,-61.483865,249.30951,15.242032,0.878515,62324.09111,1.427351,44.530195,3.064786,45.469805,"[-0.0273625490479984,0.0559772854579651,0.2060774734826296,-0.085635382543491,0.0791437235135509,-0.0280002140906442,0.0699335243723539,0.0293603714802824,-0.0267585245144931,0.0018568762946921,-0.0571576212818922,-0.0280535240681542,-0.1604548285301767,0.054692120828322,0.0019528506864584,0.0840265073880882,-0.2286137740751717,-0.0273514048001392,0.0041159274209796,0.1234297604929736,0.0087005275042356,0.0797831123596785,-0.0139421320090102,-0.0622602720887644,-0.1277774373257745,0.0358500349736203,0.0564580258486705,0.1051082947481112,0.0524900200441002,0.0807611087744725,0.01505738028723,-0.0470783201438794,-0.0864246730243907,-0.0049749770830967,0.3158418958459213,0.3372101548020957,0.026215471470867,0.0218243633679433,0.0421115991976249,0.1127762285375882,0.0447573949038999,0.0590606230255271,0.0396542921340285,-0.0170709481517951,-0.0407445932813716,0.0166067521218164,-0.1703230109860617,0.2045544998167695,-0.0502237182769093,-0.0824143314430856]"
3554,3554,i,-8.472584,190.60371,-21.910817,0.914877,63628.28878,1.105432,64.498303,77.817704,25.501697,"[-0.0767638777554317,0.0018962432117355,0.048031130186268,-0.1782740793860356,-0.0110131598481675,-0.1066771343364195,-0.0291731000006169,-0.0026772996969015,-0.0618013245281027,-0.1171831970269371,0.3126058374401772,0.2049618042716633,-0.2033187586657412,0.0227784976620573,-0.175342974704511,-0.3596087150322633,-0.1319055759516918,0.028080450693002,-0.0237214504017574,0.1810277476587063,-0.0604812839852622,0.10964458714558,-0.0708054287694546,-0.1117582811499735,-0.2091489915772989,-0.1194366794950783,-0.023691793902253,-0.067032548495171,0.0694086768091178,-0.1280310149709146,-0.1836303359166584,-0.0011557532630017,-0.1600880789563139,0.0055838807157553,-0.254721171752278,-0.1980066184780505,-0.2405282695146936,0.0638483720076496,0.0236442014384876,-0.1051406315446515,-0.0261448685436834,0.1149800528015202,-0.1191454029282562,-0.0354023431103436,0.0754955896597776,0.0230315110400373,-0.0722101897584698,-0.0498957092239513,0.0080057226334727,-0.1479113280477024]"
3555,3555,y,30.541545,112.044853,5.477122,0.717725,62542.106389,1.235403,54.072495,7.951296,35.927505,"[0.0867217886889948,0.0265375888095507,0.0586996012796951,-0.0010514079035438,-0.0224492799692825,0.0041826125369434,-0.0130955561620562,0.0559314096728121,-0.0053249744688319,-0.0034100591836954,-0.0413341439196058,0.0014493196020229,-0.0345112062890036,-0.016767531437983,0.0823971095166034,0.0519193532947062,0.0301715999238174,-0.0366371780405315,-0.0229603276056135,0.0278829748588582,-0.0273562763652668,0.0517555863276171,-0.0039784991902586,0.0509550907084473,-0.0423567852955463,-0.0026614575877311,0.0188394974497509,-0.039224996928282,-0.0080077358478521,0.1002071804813901,-0.0381035372060113,-0.0485005441732784,0.0282023704386293,-0.0076780285781528,0.0270704929808687,-0.0648277429454573,-0.0833653473199363,0.0286907232046668,0.0029064191581116,0.0223404741257958,0.0451411867111342,-0.0463644320199637,-0.0194534563278491,0.0351580663208945,0.0653122122214064,-0.0028802928129492,0.0224825691298871,0.0229461397415938,0.0042281505525161,-0.0366417583901276]"
3556,3556,y,2.974592,185.224105,-11.005184,0.776267,63790.015354,1.336728,48.875304,289.026529,41.124696,"[-0.0776555436770514,0.1590174029891763,0.1589826895569725,0.256464339859688,-0.0575151579630428,0.0140929308337409,0.16137904888411,0.1074538674346829,-0.0109336997423902,0.0826245541912568,-0.3128334125626137,0.1095717356263537,0.328087646146065,-0.1506822517438602,0.0811342612551755,0.0040416523516298,-0.0825356680583283,0.1897864726049173,-0.1067507073945019,-0.0992992288463184,-0.0270761320486985,-0.2702132452048992,-0.0881606518764006,0.0284663201876912,-0.1709225230478696,0.1476597489164448,0.042713956016125,-0.1351458086919253,0.0236103554111408,-0.0554893381678801,-0.0269986212496027,0.2777735952008681,0.0481464359101576,0.0007885207571884,0.2546461982707557,-0.3978602082127341,0.0929378451663095,-0.1817146667435571,-0.0600456080416156,-0.1935613243493954,0.1973632775517075,-0.073719085685489,-0.1712319828215188,-0.0425556653709076,0.1454212054922785,0.0147043685812166,-0.0046169003172972,-0.011056819952195,0.057987986920014,-0.0893650727470948]"
3557,3557,r,-18.657754,4.432037,-33.815743,1.134158,63825.391398,1.114959,64.090696,254.527651,25.909304,"[0.0335276287296435,0.0358918215162686,0.0358733469702738,-0.04482085563587,-0.0140089783131566,0.0390516572904175,0.0106546009099703,0.0130626993706566,-0.0727705643475732,-0.0286341545324121,-0.0448782311787078,-0.0088911020521734,-0.0019907194816863,-0.0316319054115979,0.1271352688939415,0.0077421460963299,-0.09514058212038,0.0375577824891074,0.0739251533484748,0.0389498767282471,0.0261454182004736,0.0324129223060809,-0.0087776229620127,0.0323548423610907,0.0097138783124404,0.0376612107514425,0.036869638796529,-0.0455022070729341,-0.0253204408365189,0.0469521968454988,-0.0701033357135479,0.0172682817982338,0.0162103040998119,-0.027114995056764,0.0333966291622575,-0.0153442530347109,-0.0320314473306843,0.0181086546327195,-0.0325949143901047,0.0014324519469111,-0.0001106373181353,-0.0318040417365746,0.0159174899307011,0.0314814733667831,0.0786411920596413,0.0063067759545366,0.040836198961984,0.0041886313516937,-0.0166020129337479,-0.0717761143415801]"
3558,3558,r,-35.252126,280.187814,-25.361606,1.166156,64048.350388,1.228504,54.048929,92.264189,35.951071,"[-0.0008394954626185,-0.5858785557680478,-0.3077616511010571,0.4204248968355632,0.1146411349765209,0.5084443342745614,-0.072368166164547,-0.2976880890819173,-0.3528927411570675,0.6318614884117335,0.2185316756078418,-0.1881758280728842,0.6055062266537709,0.3689946032024665,0.2902476189758316,0.4338876767876472,0.1949289695686289,0.5753449735318497,0.0653203901420276,0.0725760872582313,-0.0768949553243318,-0.5000733937477064,-0.218635901538326,-0.0772871461100593,0.0507970601140332,0.2819480136259967,-0.0217040175600671,0.1169542473395036,-0.1789078073359978,-0.5969695349200589,-0.0898742673486402,-0.6635712284719881,0.4445234557537525,-0.2270331825975107,0.3242803144836468,0.2433017480645508,0.4855109817280659,-0.1928182135414944,-0.7233461433752065,-0.2286277633841562,-0.026008080274876,-0.0394096961040289,-0.5387379626031842,0.0807042293972843,-0.215507022320522,0.0066172168659721,0.254225748083867,-0.1341788533899752,-0.2884057054759356,-0.1665752776096496]"
3559,3559,g,-49.654147,244.855531,0.836759,0.467902,61283.008444,1.307279,50.152957,316.284353,39.847043,"[-0.0887941289899581,-0.0717613604881694,-0.2412718726796351,0.2923741123373644,-0.1003321673208616,0.0979529412449661,-0.0412140651920751,-0.1157897887088878,0.1749200682205486,0.0662157259218361,-0.2965372420835253,-0.0430049233627722,0.3582460415587373,0.0452129178175186,-0.066078683876401,0.1888909348488243,0.0256677345093023,0.0745221253028368,-0.041551371788445,-0.0163194299191432,-0.1028693813874121,-0.3694982424754123,-0.0282759103429452,0.0425850742568731,-0.0858290327169174,-0.0032849724347398,0.0616615725671957,0.0342302696322254,-0.0614909361133148,-0.1879649135359076,0.1668687533781004,0.1228499068824318,-0.0419810220342135,0.0482472980983282,0.0867233091311005,-0.0416477527845421,0.2536254542488672,-0.00780641718345,-0.0850080772702884,-0.1098598108928393,0.1476126756789456,-0.0468957454833586,-0.1239316355364079,-0.0723697845375155,-0.0419313011108425,0.0012530523462388,0.1066785133054639,0.0347655120684539,-0.1750634229552263,-0.1126303085310775]"
3560,3560,i,-70.760575,137.947786,-31.451874,0.744723,62989.075642,1.200203,56.71643,257.481839,33.28357,"[0.053452919398831,-0.0597449789387378,-0.0665711758053884,0.0698314143356044,-0.1421904892666965,-0.1850703131695273,-0.1023841153480342,0.0769979951160461,-0.2179817250363629,-0.2835310312070868,-0.1073797769934097,-0.1469529480454344,0.0371906741682538,0.1140223097263456,-0.184733892739299,-0.1007677121484139,-0.1055904771407991,0.2479784019538138,-0.0118807294589586,-0.0078301903252392,-0.0325832464291959,-0.4261328941458555,-0.0511589928463846,-0.1905401702844373,-0.0967769097854877,-0.2669970353664611,0.1225009139114013,0.0357840013366137,-0.0474443067034197,-0.2709063361243151,0.374140926148506,0.0786421724841881,-0.1293365535905195,-0.055596389467836,0.3932376435835172,-0.0465612226196388,0.0582181252591802,-0.0274125057620571,-0.2094036599850562,0.0493095737289297,0.2230054040339166,0.2077640860866102,-0.1643091565338547,-0.1509307967064053,-0.1160140151911676,0.0258520309279748,0.0490105654826686,0.1753174399523624,-0.0535647451093596,-0.2047827373192612]"
3561,3561,g,-56.942454,219.29063,-2.714951,1.193847,63423.032322,1.144879,61.124467,339.662282,28.875533,"[0.1779040266353115,0.1601055475278446,0.0606579225011646,0.2424677861451317,-0.2663088375388829,0.2204959186063923,0.4110366676395493,-0.0187401970653309,-0.1893723433712291,0.6447194021957653,0.3627259556306248,-0.2650144925737865,-0.5019303722514725,-0.1193788126593104,-0.617327821687582,0.127651302140846,0.3029994270379053,-0.1156233382182403,0.0568760123576425,0.0988639010853944,0.4992090513185107,-0.4957396097460348,0.2318037860062297,0.4539737064674365,0.4772244077754687,0.2048692440781385,0.0584839685081708,0.2073187541149459,-0.0767810002796068,-0.3451996715918015,0.3299424848971656,-0.8080173138174466,-0.4399127042447651,0.0288018340921279,-0.3151615557019288,0.1176545582944027,-0.0657536506902901,0.4342492663992885,0.2163402042644956,0.0376322325913973,-0.2066332477256681,-0.3502846964680602,0.3253533596184394,-0.0166391381096798,-0.2987822244621212,-0.0031150709336088,0.2229984954630193,-0.1629265910785658,-0.2060710109395407,-0.0116720758734742]"
3562,3562,i,-48.349792,179.364589,-10.479239,1.02232,63277.370752,1.190795,57.535211,301.153159,32.464789,"[0.0357636633130434,0.1343918029452774,0.1308648059131045,-0.1179767631855434,-0.2091832909272079,-0.0717613597168504,0.2352821420549244,-0.0360139449590159,0.1114300188026379,0.238447809335005,-0.1957868382381284,0.3479785968965891,-0.0231820395251653,0.0415617202305214,0.1052511051145344,0.0492295958398294,-0.0579826574588218,0.1756013657001728,-0.2086666990732629,-0.1378043820855187,0.1682595166771351,0.1543352179195952,-0.0439111608984042,0.2404836363615927,0.2365108201410905,0.1852747708062437,-0.0211610555720244,-0.0973391059313774,0.0556130432454087,0.2717943347601916,-0.0246844970128541,-0.0840507858303554,-0.0261963542948465,-0.1205193134889329,-0.281588149004838,-0.1966123536757528,-0.2121940879931864,-0.2183832133802966,-0.0647195385694894,-0.0209038250404321,0.0925637772936786,-0.3977513681068155,0.0824946812925466,0.0730823608566437,0.0887939565488514,-0.0271821753708386,-0.0432529700330112,-0.1211305688360541,0.0872996739224708,-0.0014444917084072]"
3563,3563,i,0.307863,247.563384,2.009683,0.397331,61144.331182,1.184597,57.679246,354.226654,32.320754,"[-0.1378395281261161,0.0279320962071835,-0.1510935897155383,-0.6160597493465044,-0.1685050593780557,-0.049026139795266,-0.112320909605683,-0.0167196343425789,-0.3916340496755907,-0.1669441141019451,-0.0949134421375447,0.1488243961367726,0.0602307362342912,0.0169254008712653,-0.2730787310979823,0.058215494988477,-0.1126436659557301,-0.2379937786645357,-0.0124470886997925,-0.1023021224424648,0.07344975434084,0.3621056437503561,-0.1423904827429592,-0.0910289798571303,0.1561889649270413,-0.2206413433078555,0.1064170312408289,-0.0776253355375608,0.03607390764304,0.1020437310754056,-0.2652037708841254,0.0821046162783032,-0.3413227325137279,0.0133197713801987,-0.5114612766571163,-0.0285151751184926,-0.0878983046948963,-0.0628952087060952,0.3561379315605572,0.1584289591684074,0.1007770161129599,0.0133272122041625,-0.1527449977616793,-0.1120044434153774,0.0449996724884159,-0.0384720182847075,-0.0943948472658593,-0.221468610330465,0.0024252819747873,-0.1224754451458387]"
3564,3564,z,-23.623825,119.593864,-47.920183,0.662016,64436.064553,1.222243,55.039027,228.096872,34.960973,"[0.1354511406220253,-0.1630204357644246,-0.4209687580990003,-0.1979590998366743,-0.0960938466151385,-0.0484433080719121,0.0837700198338011,-0.2887252742719299,0.5339370538072573,0.2377950103828678,0.0823043042713782,0.0009743052396587,0.0377083387987435,0.1335489183873078,0.1742843406928992,-0.1898517197806518,0.2617124571024912,0.3257522224854045,-0.0774074243274247,-0.0003759815147984,0.2647414275980094,0.089053085142153,-0.320065375262652,0.1307021246298348,0.1784615220519801,-0.0627460005275003,0.2202683951496602,0.1057443839723663,-0.0638359299434912,-0.3312171406719627,0.083527739276813,-0.1258994811021258,0.2465298612764771,-0.1158211153412442,-0.3683456103660456,0.1526032915461265,-0.1508093034657005,-0.033052414470633,-0.1311487823098783,0.2103034498928714,-0.1277176623628353,-0.2954783783024848,-0.3979178477267821,-0.1261222600241039,-0.2070532876972714,-0.0442295218128927,0.0779946365694661,-0.1759837112344456,-0.193604080981439,-0.0968018090557088]"
3565,3565,z,16.41634,335.087095,-36.164816,1.158505,63824.393971,1.55006,40.527894,246.636953,49.472106,"[-0.0146994122960238,-0.0707809626832304,-0.3480424983481541,-0.013758381946891,-0.1452632318136382,-0.0612831545947188,0.0365678385759111,-0.2673469118492354,0.2104693873806995,0.274633004209102,-0.0589321197566879,-0.3469378131441761,0.1587645596567311,0.0208386174165313,0.0561757984480635,0.2562705701595325,-0.0838620507794555,0.0227641300153353,0.0196891333392636,-0.0473131542612674,0.3446762946392682,0.1831822217694187,-0.2350434522458934,-0.0868802273886937,0.3934052407546993,0.1232600328108734,0.0228159382797556,0.2346242655112961,0.0955234286404968,0.1132568193803266,-0.0159990239412448,-0.0341319151641365,0.1056209257345597,-0.0185431799363238,-0.0266465166728537,-0.1032431708421832,0.1678388336561517,-0.0091636590852285,0.032068560890944,0.2415635904652567,-0.0946935273100605,0.0140138635225249,-0.1589070694951969,0.0780249154862775,-0.2713773452941949,-0.0309568828802822,-0.1857412267856884,-0.0464344573797544,0.0381018552350885,0.0726146017677154]"
3566,3566,g,-14.428637,354.43026,-66.638245,1.334556,61615.381221,1.271279,52.088115,191.864433,37.911885,"[-0.1456507035204911,0.0150400536977322,0.0262049777177404,0.2812403517413215,-0.0883513170010902,0.1218558756280898,0.1626074743664655,0.0226273399357912,-0.0316822671307713,0.0084300699906927,-0.2289286624301065,0.0114413227618029,0.0457022603082856,-0.0358577174153999,-0.1275260349616436,0.1439313648798782,-0.1459264805867366,0.0535076691208435,-0.1479564426077266,0.0654147642184138,-0.3957087668403178,-0.5844121833313006,0.1252875399569142,0.0979187598237649,-0.2217585718015471,0.1431535746515001,-0.0169380469353813,-0.0982607020824926,-0.0970407718005071,-0.2217264682421438,0.2356698902996709,0.0768538693300038,-0.2752801697611308,0.0718261657169429,0.2002754633502866,-0.2480736625797613,0.1079988293058877,-0.1301721406373072,-0.0776774690220975,-0.2827061225277268,0.1965385166654192,-0.0659539964893896,0.0254309206312271,-0.0585874110092909,0.1129427525701366,0.0594644752585808,0.2058459114743857,0.0237530316019903,-0.1152682754667207,-0.0630061435684793]"
3567,3567,r,-11.429261,220.591091,-32.911225,0.360445,64371.334693,1.091776,65.916465,104.055398,24.083535,"[0.175148311654852,-0.088119046537662,-0.10680437574803,-0.1836954291042928,-0.0544463297967029,-0.0124927555727993,-0.0494413505393812,0.0591769741825223,-0.138997102789756,-0.1181838087002145,0.0292826745522356,0.086165951939535,0.1917038167045829,-0.264525948157693,0.1538693185719951,-0.0723498174548904,-0.0392700580462745,0.0899431556247202,-0.101560099775227,0.086777985769283,0.2005837983070944,0.1525256143742171,-0.0455237976558644,0.1463417219563575,0.0831439716825316,0.4136787733822733,-0.0650769561503088,-0.276401279132779,-0.0139990787783245,0.233528513557375,-0.2069944298969256,0.0967020414479321,0.2214119458298682,-0.1184974989886317,-0.1271684573328549,-0.0838003390428023,-0.1050363329802149,-0.2149116826140892,-0.0484493885465649,-0.0731500432309099,0.3653180452496963,-0.1204284448573883,-0.0037845276196535,0.11371633731203,0.222546263458635,-0.0447943639196024,0.0162822352138099,0.2518273798102368,-0.0882777053494961,-0.3030216936920201]"
3568,3568,g,52.929464,281.707377,-7.878192,0.916285,62705.102401,1.115288,63.494266,35.408123,26.505734,"[0.0105411000486033,-0.0198262422968169,-0.0502275463745305,-0.0004346547755154,-0.0125066987557507,0.0059358313127671,-0.0632183539706748,-0.0366380091559392,-0.0066407907397598,0.0097655339032495,-0.056354764573459,0.0555352411047925,0.0819272512077609,0.0709836084878305,0.0238943237857594,0.0089168538939481,-0.0059695824775153,-0.0047968556022121,-0.0847666639431884,-0.015491605174077,0.0054377932469612,0.061331574615671,-0.0064474444210744,-0.0259396220923983,0.0282263699460279,-0.0154085126652781,0.0227376453551146,0.0587225332709891,0.02298147957746,0.0126389857944502,0.017350923056787,-0.0058743493736036,-0.0067678099406262,0.0054765377301733,-0.1139807084448712,0.0473243761996,-0.0679273999108737,0.0252812133170706,-0.0179717573206851,0.0806271296158868,0.084108241000306,0.0292258177699832,-0.0162519386326491,0.0007047121862322,-0.0850672897764148,0.0139469603368131,-0.018017213427962,-0.0429324398744353,-0.0478407393437007,-0.057506420883737]"
3569,3569,y,20.6876,152.423109,3.623519,0.681788,61513.978874,1.32256,49.06673,38.785958,40.93327,"[-0.0358341277534723,-0.1162005889763407,-0.3749638721201024,-0.0472858363566455,-0.007728126859388,-0.0471406306079804,-0.0937572291066439,-0.2497333186977519,0.1239161099082476,0.1480004803963333,0.1339456533587066,-0.1508284210627689,-0.0568839121502422,0.0432204881802774,0.0777629212066054,0.0891776346874322,-0.1019268299800576,-0.0572115637504131,-0.0357546776555119,0.1401426670061338,0.2049215176924581,0.1893903117134998,0.0671003456314604,-0.1025561642739862,0.2404808370391743,-0.1204608297020116,0.1066633198109483,0.1982427957589041,0.0350372607468413,0.1367694606646414,-0.0176356902657901,0.0121584609396857,0.1793159827960949,0.0488187491085345,-0.1695894602197817,0.1493299871561684,0.0813239983296076,0.0542834727265194,-0.0471185878098154,0.1876748265958251,-0.1861045980415461,0.1397312458606595,0.0561551924213188,-0.0248950053074982,-0.1717111109420522,0.0377312483135061,-0.0385062650209746,0.0223744198370195,0.0109908458666572,-0.037064113363432]"
3570,3570,r,-29.897866,269.901529,2.585925,0.846731,64448.339304,1.190112,57.176081,359.72913,32.823919,"[-0.3123526842265181,0.1285017331734473,0.0997551637068893,-0.610083378731165,-0.2245701629575427,-0.4763397964973233,0.3708573811700325,-0.0568776054469266,-0.1397718241926247,-0.0674596368223355,0.1882325870337342,-0.0865352807872386,-0.2429278949015394,-0.095299381683839,-0.0516286109336269,-0.2642101059826253,0.0794934193245326,0.0336502617267393,-0.1316231746234993,-0.0246083032136135,0.0282891224249278,0.0856761220864577,-0.0732718106033797,-0.1371645256563135,-0.2461182575542085,-0.2160084772683362,0.0545794402844191,-0.2623033770531055,0.0286364795021051,0.1341916372781733,-0.2988581103337192,-0.2191094508844606,-0.2403530082179254,-0.2082907463967977,-0.500312094653363,0.0545978592122202,-0.2879418236536907,-0.2342084496338024,0.1635477669154179,0.2146859772781081,0.0401218553952941,0.1029273902429019,-0.1430442906747125,-0.0613682222369499,0.2764388636042527,0.0618505777498306,-0.0403279547872904,0.0582961192322746,0.1482795379999051,-0.1827968121270545]"
3571,3571,z,-73.21778,189.836085,20.989017,0.850409,63703.052782,2.160243,27.525807,39.905745,62.474193,"[0.0104610258419617,0.0046700554882682,-0.0210607484289537,-0.0720335936956286,0.0010895943970435,-0.0133059029521123,-0.0155422063209183,-0.010197483784006,0.0054217062263698,-0.0248224602386326,0.1008993636511889,-0.0262250432739859,0.0659819070274584,-0.0412454716162872,-0.0630768050954354,0.0028788115331506,-0.0544884544526843,-0.0082064712111462,-0.0146717135595094,-0.0706885950752041,0.027766837176284,-0.0721251189646116,-0.0085889876130285,0.0293392782473464,0.0631492826751848,-0.0582871265651102,-0.0245087838628594,-0.0680102594939779,-0.0189850529321851,-0.060525807344215,-0.0138584071058264,0.1068048503139114,0.0510380904360775,-0.064638867332345,-0.0269196081476685,0.0468376538531816,0.0078658821224168,0.0275704804552875,-0.0656756606662991,-0.1087291497510289,0.088486653120275,-0.0438899691196776,-0.0230532753192264,0.0061375122773656,0.0665654725370039,-0.0072334466980642,0.0041876072205002,-0.072160937258194,0.0234578073932592,-0.0957806223551626]"
3572,3572,y,38.254257,89.793192,-57.034607,0.895728,62489.338282,1.37304,46.815797,217.072641,43.184203,"[-0.3024884062472819,-0.0323617927829001,-0.1689474013931518,0.1785487906020999,-0.1333051326417969,-0.0256461431211738,0.0990310168541758,-0.0549173998876574,0.1334388002556156,0.0576668392090806,-0.0101202753329032,-0.1380298906865714,-0.0564703818410874,-0.1014552822765255,-0.259775912742092,0.0058730608681044,0.0135550883896899,-0.076486050605821,-0.1329444726723744,0.118509316470151,-0.0293883310198617,-0.0999629841091731,0.1291626899702984,0.0871532563866077,-0.1752850946605402,0.0265229626507993,-0.0209126086822035,0.031519744086811,-0.0835170616879411,-0.3352669616800177,-0.0809094969262963,0.1091243590370742,-0.3721162611354413,-0.0117104334893181,-0.2519791638515004,-0.1709151529688879,0.1353973507192727,-0.149586809885689,0.1006316352805046,0.0185268345715663,-0.2435835286642803,-0.0245143885579391,0.1464614051129436,0.0384468429025776,-0.0333116017029256,-0.0015177945896022,0.1476090173567992,0.0199874667226819,-0.12964868064601,-0.1526355733680033]"
3573,3573,i,-67.654985,181.70235,-20.85961,0.575164,62559.352037,1.152349,60.598087,280.859269,29.401913,"[0.0676427330186626,0.0952934891644311,-0.019110045871475,-0.0240332747766612,0.1709196721091792,0.1924154678872842,-0.0861736109588908,-0.005893537895563,-0.0204977190362614,0.1541903762859285,0.1211982452221641,0.0290717184116496,0.0446452026807457,-0.0964492808037654,0.1418064091651046,-0.0954039061777057,-0.1676218218198341,-0.2075020221230212,0.0616353534333481,-0.1203513747979082,-0.1591429359951242,0.4800708066978018,0.0516943676453983,-0.0088126527685939,0.2005709844351069,0.0170227116117235,-0.0286449162913069,0.1697265103753981,0.0939448484469489,0.2721525504209932,-0.3442786387014871,-0.263924760762398,0.1157800899151779,0.160787340845143,-0.0036861214466131,0.1217475986503292,-0.0140970118067956,0.2224954263756948,0.1146036151386967,-0.1428227080690956,0.0993635162792077,0.0337850167637542,0.2109738638001607,0.0505833980141857,-0.1170097997420648,0.001262244255834,-0.1289283528159618,-0.0470930057313546,0.0886092158671294,-0.0160908320721397]"
