noll,count,bias_um,rmse_um,std_um,correlation,danish_polar_rms_um,tarts_polar_rms_um,color_limit_um
4,12600,-0.015157140680872023,0.020544906788469028,0.013869734992120047,0.8725842720865945,0.03676148304978185,0.026800755029223924,0.07100000000000001
5,12600,0.002176245375783278,0.06558486340650334,0.0655513485308792,0.6624471541517546,0.08827257943314994,0.05740283387701282,0.2
6,12600,-0.019991068371955634,0.06485943068071397,0.061704174158502066,0.7873014611088528,0.09749997268454784,0.06694687703660182,0.18
7,12600,-0.00549063002117339,0.09252530481509284,0.09236591423931316,0.0013912169990947874,0.08779799830501685,0.02921549996590038,0.16
8,12600,0.009680575459097375,0.056990927567139846,0.05616495919250872,0.21446903348792415,0.055985749960088635,0.035066924909495645,0.12
9,12600,-0.01109328322801123,0.0318896475326422,0.0298991577834017,0.6670570912728746,0.03507210884872913,0.03864666178671048,0.098
10,12600,-0.000562999621232687,0.024041333780798795,0.02403569453442694,0.8373372129028133,0.03918450178370231,0.04374359672980894,0.12
11,12600,0.002164811998032959,0.013777620217123662,0.013607024009400554,0.8023828947660707,0.02018847682218486,0.022993795170410437,0.064
12,12600,0.003279703125214767,0.017151904939837224,0.0168360888218105,0.7955082693455833,0.027786475071349206,0.022838552074792302,0.064
13,12600,-0.00636401717463017,0.0161431767319324,0.01483640489317375,0.8718067055138091,0.030844533550832092,0.029788046971623107,0.079
14,12600,-0.0015646980751451275,0.021514128846864083,0.02145800557616439,0.6779878131411793,0.01889463144835118,0.03171837181534754,0.061
15,12600,-0.002214525765243938,0.022866837691451845,0.02276025604151271,0.6437502214775568,0.012106157903890863,0.028526449064112003,0.066
16,12600,-0.0038135950093554326,0.020964185689592654,0.020615220199732106,0.49106698068007326,0.023343265336581598,0.01767847732848932,0.047
17,12600,0.02207338271848345,0.03257336153250838,0.023954857531761554,0.6871473290187434,0.03253324477713705,0.02456453984161975,0.058
18,12600,-0.005143276202731858,0.027411405439693913,0.02692562714075048,-0.07461741914683848,0.012393871624377132,0.023783451338906712,0.044
19,12600,-0.015191814710548833,0.023394389169706903,0.017791327436656724,-0.023462517833241128,0.012246076592627443,0.021756130179190182,0.039
22,12600,-0.00458393034064495,0.006133533855970771,0.004075431066775646,0.34068955875452817,0.010899409294960423,0.015419590087084179,0.021
23,12600,0.008634815272892496,0.017724419053521297,0.015479470694213284,-0.22157404023936106,0.009643632253443219,0.011936100754372318,0.028
24,12600,-0.01090760900973589,0.01932756597966502,0.015956161150637634,-0.22022886490079918,0.02183525342324736,0.014909583518891606,0.037
25,12600,-0.016495484817856967,0.0189274189482098,0.009281864371185162,0.5063409530627725,0.017114138227376664,0.010643654624239347,0.032
26,12600,0.007796276844204921,0.010770705764820084,0.007431726139874784,0.7848455972643276,0.02087005295190789,0.02953734510655861,0.043000000000000003
